,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
10020,spotify:track:3bAZiNCVHdmT1CT52jYguQ,0.446,0.455,11.0,-9.681000000000001,0.0,0.0325,0.504,0.000399,0.19,0.727,139.461,174067.0,4.0
10021,spotify:track:02CIZQ4m9KIYPu7Vcj94Cy,0.44299999999999995,0.18899999999999997,4.0,-12.19,1.0,0.0336,0.731,0.00573,0.136,0.297,133.268,170933.0,4.0
10022,spotify:track:5sdu0C1l5Wc0WihrZzfyLm,0.626,0.7809999999999999,7.0,-8.475,1.0,0.0384,0.599,0.00164,0.107,0.96,95.895,143200.0,4.0
10023,spotify:track:3j3NwuZXoKYasyGVaHo4YY,0.424,0.386,9.0,-9.526,0.0,0.0307,0.415,1.9e-05,0.0654,0.478,126.771,173467.0,4.0
10024,spotify:track:3dHRTEi4kRg68eUb3caWvX,0.599,0.276,7.0,-10.985999999999999,1.0,0.0327,0.813,6.99e-05,0.122,0.633,133.19799999999998,239760.0,1.0
10025,spotify:track:5lPKKqyy4stoOQ09DjZ8BC,0.49700000000000005,0.205,4.0,-12.685,0.0,0.0295,0.71,0.0142,0.122,0.24100000000000002,130.166,241240.0,4.0
10026,spotify:track:3Sc0CFdDq7XfbMojAHkDhQ,0.498,0.308,9.0,-14.978,0.0,0.0467,0.7759999999999999,3.289999999999999e-05,0.758,0.28,114.12899999999999,268400.0,3.0
10027,spotify:track:32KA3mC4zolVSzpMC7V8dE,0.345,0.579,11.0,-6.0360000000000005,1.0,0.036000000000000004,0.0341,0.00793,0.0937,0.485,114.152,409413.0,4.0
10028,spotify:track:6XUHsYE38CEbYunT983O9G,0.531,0.818,2.0,-5.358,1.0,0.0452,0.0694,0.0096,0.263,0.47100000000000003,90.76700000000001,248173.0,4.0
10029,spotify:track:4PqGEhQlHBczN9hBbui8eY,0.431,0.598,7.0,-7.406000000000001,1.0,0.0288,0.33799999999999997,0.000129,0.131,0.47600000000000003,132.392,386107.0,4.0
10030,spotify:track:5sr9gYvCGCFL97E2EFmnSy,0.433,0.374,9.0,-8.639,1.0,0.0306,0.872,0.000167,0.0951,0.14300000000000002,86.51799999999999,240333.0,4.0
10031,spotify:track:5OzYi2jOFdouhyovank4wj,0.513,0.544,0.0,-7.3,0.0,0.033,0.256,0.0,0.0862,0.475,115.85600000000001,290400.0,4.0
10032,spotify:track:5pSSEkT0963muzzIjsVkrs,0.406,0.306,3.0,-10.482000000000001,1.0,0.0372,0.313,0.0079,0.0727,0.073,135.27200000000002,652560.0,4.0
10033,spotify:track:6gRGLfswEsfpy1UxHEyP6X,0.693,0.489,9.0,-9.709,0.0,0.0316,0.0854,0.00234,0.131,0.262,87.085,301133.0,4.0
10034,spotify:track:4A11HoXH8oIUfWtJaTE34T,0.55,0.368,0.0,-11.275,0.0,0.0698,0.8,9.1e-05,0.11800000000000001,0.16,136.983,225533.0,3.0
10035,spotify:track:51FpzuGkRYXFgsE2zXt9av,0.516,0.15,1.0,-20.41,1.0,0.0272,0.13,0.0755,0.122,0.20600000000000002,97.398,173867.0,3.0
10036,spotify:track:4j6Hkosuk9xHcowXjtwefs,0.511,0.574,5.0,-7.016,1.0,0.0273,0.0425,2.33e-05,0.105,0.161,119.917,280040.0,4.0
10037,spotify:track:04aKChClEUxFBCdOG1rNCC,0.54,0.0945,4.0,-14.574000000000002,1.0,0.0314,0.855,0.0,0.195,0.20199999999999999,103.53299999999999,232933.0,3.0
10038,spotify:track:289gA04ezTbomaHRvLK2eL,0.743,0.331,0.0,-14.102,1.0,0.0275,0.0687,0.0104,0.0395,0.387,110.749,302627.0,4.0
10039,spotify:track:5IFFNFylEfKq5FvOuZUTBa,0.6559999999999999,0.249,7.0,-13.212,1.0,0.0286,0.37200000000000005,0.00224,0.115,0.2,109.081,272480.0,4.0
10040,spotify:track:3lQVHa3aOBXjFvbrKHvAaq,0.7040000000000001,0.262,7.0,-16.93,1.0,0.0277,0.58,0.0384,0.11599999999999999,0.405,101.905,276827.0,4.0
10041,spotify:track:0EAJ0xn42jBzzD9BRJA0I8,0.632,0.179,2.0,-17.320999999999998,1.0,0.0337,0.823,0.0021899999999999997,0.105,0.29600000000000004,114.78299999999999,297840.0,4.0
10042,spotify:track:49rjnhdgM5lKVRdhnHtOJA,0.635,0.15,4.0,-17.53,1.0,0.0351,0.893,0.0437,0.111,0.158,128.08,232599.0,4.0
10043,spotify:track:2LDOHAwZ9uECjs9xKHi2wc,0.6609999999999999,0.541,11.0,-9.682,1.0,0.0532,0.00131,0.00399,0.0933,0.585,120.978,254160.0,4.0
10044,spotify:track:7pVAdbWP9gQZvnOIqBL6Cl,0.6970000000000001,0.298,2.0,-13.037,1.0,0.0286,0.462,0.782,0.107,0.561,106.429,279253.0,4.0
10045,spotify:track:72b8CcWjtEmMUqTo0RO5Q4,0.444,0.35200000000000004,7.0,-12.922,0.0,0.0346,0.531,0.409,0.115,0.106,58.95399999999999,274040.0,4.0
10046,spotify:track:3tH2AWcU1XTpV4BwirC819,0.531,0.575,5.0,-11.302999999999999,0.0,0.0371,0.313,0.12,0.11,0.485,112.84700000000001,327147.0,4.0
10047,spotify:track:6mbbXTBC7ADcjh5RCNrooU,0.612,0.688,9.0,-13.591,1.0,0.0348,0.349,0.21600000000000003,0.24100000000000002,0.861,86.305,257453.0,4.0
10048,spotify:track:4X2bxqFkf2SBoxvNv2Plhj,0.45399999999999996,0.5,6.0,-12.464,0.0,0.0402,0.465,0.0773,0.105,0.5579999999999999,108.726,352613.0,4.0
10049,spotify:track:03yVu7QbfYZWKFLftH7ibt,0.6679999999999999,0.218,8.0,-12.775,1.0,0.0349,0.836,0.435,0.10800000000000001,0.125,89.65,342747.0,4.0
10050,spotify:track:3hSoQQE0pQ1DTm5SfXLSH3,0.716,0.636,7.0,-6.531000000000001,1.0,0.0289,0.11199999999999999,0.0049,0.42,0.564,85.006,296640.0,4.0
10051,spotify:track:0iqGS8KCYzkXTeVjUDNhaA,0.725,0.42100000000000004,7.0,-12.567,1.0,0.0333,0.604,0.0885,0.10800000000000001,0.742,82.061,178720.0,4.0
10052,spotify:track:4xihysEKBYwugkpWeJgS6W,0.522,0.18100000000000002,9.0,-16.624000000000002,0.0,0.0289,0.387,0.000817,0.0736,0.358,94.87200000000001,223623.0,3.0
10053,spotify:track:2HL7EWAjEm5Bhpr1iWHA4C,0.638,0.574,7.0,-6.115,0.0,0.0263,0.316,0.00031600000000000004,0.428,0.6809999999999999,110.256,210300.0,4.0
10054,spotify:track:2EFtUP7BmsjHzhQqI6A4rp,0.465,0.466,9.0,-8.097999999999999,1.0,0.0333,0.0836,0.0427,0.0911,0.555,164.315,558187.0,4.0
10055,spotify:track:7yMYqHqzye8vtyiHqdVlZw,0.5379999999999999,0.77,5.0,-7.376,1.0,0.0487,0.0158,0.214,0.0686,0.23800000000000002,127.103,265920.0,4.0
10056,spotify:track:2dEVAvwPAJrWFErXxREGVX,0.618,0.307,2.0,-10.875,1.0,0.046,0.8059999999999999,0.0,0.10800000000000001,0.45799999999999996,188.115,228253.0,4.0
10057,spotify:track:2Ye46ZY2LKOQTPXaauQisB,0.59,0.115,2.0,-10.033999999999999,1.0,0.0385,0.968,0.0,0.0871,0.33,121.69200000000001,242447.0,4.0
10058,spotify:track:61paDgouceUmuVTsoUO5TD,0.643,0.312,1.0,-7.155,1.0,0.0351,0.836,0.0,0.106,0.094,94.09299999999999,235307.0,3.0
10059,spotify:track:45hHVgKxDWBpZPrMcbr2WF,0.617,0.5760000000000001,7.0,-8.954,1.0,0.0304,0.495,0.16899999999999998,0.156,0.597,112.645,284093.0,4.0
10060,spotify:track:7hpk3H8tjWh23edusCKW5O,0.541,0.21600000000000003,2.0,-17.93,1.0,0.0369,0.736,9.95e-05,0.113,0.31,85.819,189093.0,4.0
10061,spotify:track:16XeptMdlJTWWeIrwEAOvv,0.7020000000000001,0.244,4.0,-15.286,0.0,0.0355,0.431,0.00867,0.0963,0.444,141.317,202147.0,4.0
10062,spotify:track:53Jf3ChStU9gJy69jUYRVw,0.7609999999999999,0.563,0.0,-10.867,1.0,0.0525,0.634,3.570000000000001e-05,0.11699999999999999,0.5920000000000001,107.0,213987.0,4.0
10063,spotify:track:6rtwULJIwFVMSU0g4FY6zf,0.708,0.33899999999999997,3.0,-14.17,0.0,0.0543,0.7490000000000001,0.00033999999999999997,0.0913,0.298,79.37100000000001,160584.0,4.0
10064,spotify:track:5rkhKnkMB8YCsL5rFQoTZk,0.557,0.157,4.0,-19.008,0.0,0.0322,0.872,0.7440000000000001,0.0694,0.184,107.962,199456.0,3.0
10065,spotify:track:0BeAL5sGX7mxLNDWUJ36Ci,0.634,0.529,0.0,-10.026,1.0,0.0284,0.784,0.000805,0.0902,0.451,122.015,394840.0,4.0
10066,spotify:track:7I8ftQPSknxqIH8jiuh6iv,0.6809999999999999,0.20199999999999999,5.0,-11.16,1.0,0.0317,0.688,0.247,0.10800000000000001,0.254,126.05,375973.0,4.0
10067,spotify:track:3ASn2iE7F4HvA8XyRbJ4tS,0.5379999999999999,0.272,11.0,-10.783,1.0,0.0381,0.904,0.0006129999999999999,0.10800000000000001,0.316,118.382,203191.0,4.0
10068,spotify:track:60Quyc1WC345V5QA85WGVl,0.541,0.33399999999999996,2.0,-10.788,1.0,0.0282,0.593,0.131,0.11199999999999999,0.429,131.385,408285.0,4.0
10069,spotify:track:41wel0JyLABRedko4XZLG1,0.767,0.45799999999999996,8.0,-9.749,1.0,0.0405,0.595,0.000151,0.0689,0.483,88.55,324720.0,4.0
10070,spotify:track:1FIopLuSI1am9L8Qfn6YRR,0.41100000000000003,0.588,8.0,-6.103,1.0,0.0376,0.674,0.0232,0.139,0.39799999999999996,77.176,257930.0,4.0
10071,spotify:track:2NJGAT43AvS7BQvn2017yS,0.573,0.639,0.0,-7.143,1.0,0.0247,0.784,0.633,0.0923,0.24,89.575,248707.0,4.0
10072,spotify:track:2boxPTf4giTdXkHbsSxcUO,0.588,0.467,1.0,-6.903,1.0,0.0317,0.8140000000000001,0.000825,0.16699999999999998,0.27399999999999997,139.438,213867.0,4.0
10073,spotify:track:2OsEq3xZjB5LFbYOxQvYXv,0.44,0.632,6.0,-10.283,0.0,0.0344,0.441,0.889,0.17,0.639,96.926,288613.0,4.0
10074,spotify:track:4hWuNTCyQeQkzBPjjVE9rX,0.64,0.485,5.0,-10.05,0.0,0.0497,0.529,0.85,0.109,0.6729999999999999,63.498999999999995,386960.0,4.0
10075,spotify:track:5jIvud0zWXDpINxFqXfbpv,0.529,0.133,0.0,-21.195,0.0,0.0575,0.992,0.922,0.11,0.585,115.92399999999999,324133.0,4.0
10076,spotify:track:6i0XeW4PstexSITqHfm3FH,0.519,0.389,5.0,-9.807,1.0,0.0304,0.514,0.153,0.1,0.107,121.802,330373.0,4.0
10077,spotify:track:5eS6dUL1WjRbAwZqvEBA0H,0.599,0.789,4.0,-6.537999999999999,1.0,0.0263,0.23399999999999999,0.894,0.381,0.602,134.02100000000002,426173.0,4.0
10078,spotify:track:7m3Tbsn12hbBnsFHR6O4U7,0.597,0.52,2.0,-10.689,0.0,0.0285,0.187,0.0702,0.0997,0.381,142.13299999999998,233227.0,4.0
10079,spotify:track:5ARrtxJLVCeTv5TWo1oKgC,0.561,0.33,5.0,-13.51,1.0,0.0268,0.76,0.134,0.106,0.37799999999999995,79.01,271520.0,4.0
10080,spotify:track:3RMuJ4qdkgs71mBNbPpZu0,0.6509999999999999,0.49200000000000005,6.0,-11.808,1.0,0.0301,0.0805,0.0206,0.0912,0.79,152.034,237598.0,4.0
10081,spotify:track:7yieArGOFIdoGJv1V8hDr2,0.128,0.445,8.0,-11.99,1.0,0.0368,0.726,0.503,0.0888,0.165,65.514,219040.0,5.0
10082,spotify:track:740zSgBv6PHOGAw04Ta2J2,0.7040000000000001,0.6679999999999999,6.0,-10.795,1.0,0.129,0.5379999999999999,0.13699999999999998,0.0849,0.784,111.145,183880.0,4.0
